Text,Genre,Queen,God1,God2,God3,God4,God5,God6,God7,God8,God9,God10,God11,God12,God13,God14,God15
al-Rawi 2008 Text 1,Royal inscription,Yabâ,Šamaš,Ereškigal,Anunnaki,Ninŋešzidak,Biṭi,Anunnaki,,,,,,,,,
al-Rawi 2008 Text 2,Royal inscription,Mullissu-mukanishat-Ninua ,Šamaš,Ereškigal,,,,,,,,,,,,,
al-Rawi 2008 Text 3,Royal inscription,Mullissu-mukanishat-Ninua ,Šamaš,Ereškigal,,,,,,,,,,,,,
Galter, Levine, and Reade 1986 pp. 31-32,Royal inscription,Tašmetu-šarrat,Belet-ili,Ištar,Aššur,,,,,,,,,,,,
RIMA 3 A.0.104.2002,Royal inscription,Sammu-ramat,Nabu,Nabu,Nudimmud,Enlil,,,,,,,,,,,
RINAP 4 2003,Royal inscription,Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar,Ninurta,Adad,Ištar_Nineveh,Ištar_Arbail
RINAP 4 2004,Royal inscription,Naqi’a,Aššur,Sin,Šamaš,Nabu,Marduk,Ištar_Nineveh,Ištar_Arbail,,,,,,,,
RINAP 4 2005,Royal inscription,Naqi’a,Belet-Ninua,,,,,,,,,,,,,,
RINAP 4 2006,Royal inscription,Naqi’a,Mullissu,,,,,,,,,,,,,,
RINAP 4 2008,Royal inscription,Naqi’a,Belet-Babili,,,,,,,,,,,,,,
RINAP 4 2010,Royal inscription,Naqi’a,Ea,Šamaš,Asalluhi,Belet-ili,Kusu,Ningirim,,,,,,,,,
SAA 2 8,Treaty,Naqi’a,Aššur,Sin,Šamaš,,,,,,,,,,,,
SAA 4 151,Extispicy query,Naqi’a,Šamaš,Šamaš,,,,,,,,,,,,,
SAA 4 190,Extispicy query,Naqi’a,Šamaš,Iqbi-damiq,Šamaš,Šamaš,Šamaš,,,,,,,,,,
SAA 4 191,Extispicy query,Naqi’a,Šamaš,Nanaya,Šamaš,Nanaya,Nanaya,,,,,,,,,,
SAA 9 1,Prophecy,Naqi’a,Belet-Arbail,,,,,,,,,,,,,,
SAA 9 2,Prophecy,Naqi’a,Banitu,,,,,,,,,,,,,,
SAA 10 16,Scholarly letter,Naqi’a,Nabu,Marduk,Mullissu,,,,,,,,,,,,
SAA 10 154,Scholarly letter,Naqi’a,Bel,Nabu,Nanaya,Bel,Nabu,Nabu,,,,,,,,,
SAA 10 201,Scholarly letter,Naqi’a,Ea,Šamaš,Asalluhi,,,,,,,,,,,,
SAA 10 223,Scholarly letter,Naqi’a,Nabu,Marduk,,,,,,,,,,,,,
SAA 10 313,Scholarly letter,Naqi’a,Šamaš,Marduk,,,,,,,,,,,,,
SAA 10 348,Scholarly letter,Naqi’a,Nabu,Bel,Nabu,,,,,,,,,,,,
SAA 12 96,Votive donation,Queen_of_Sin-šarru-iškun,Nabu,,,,,,,,,,,,,,
SAA 13 76,Priestly letter,Naqi’a,Nabu,Marduk,Tašmetu,,,,,,,,,,,,
SAA 13 77,Priestly letter,Naqi’a,Nabu,Marduk,Tašmetu,,,,,,,,,,,,
SAA 13 188,Priestly letter,Naqi’a,Sin,Ningal,Nusku,Šamaš,Aya,Ningal,Ningal,,,,,,,,
SAA 18 10,Administrative letter,Naqi’a,Nabu,Marduk,Nergal,Laṣ,,,,,,,,,,,
SAA 18 85,Administrative letter,Naqi’a,Aššur,Šamaš,Marduk,,,,,,,,,,,,
SAA 20 34,Royal ritual,Ešarra-hammat,Šamaš,Antu,Gilgameš,Antu,Gilgameš,,,,,,,,,,
Seymour 2008 pp. 104,Royal inscription,Sammu-ramat,Ištar,,,,,,,,,,,,,,